    INFO: 2026-03-21 16:19:19,155:               log.py:   20: Logging to C:\Users\lucid\OneDrive\Projects\VitalUtils\mdpdf.log
   DEBUG: 2026-03-21 16:19:19,155:               cli.py:  103: Vital File Format.md
    INFO: 2026-03-21 16:19:19,160:         converter.py:   14: Vital File Format.md
   DEBUG: 2026-03-21 16:19:19,168:      pdf_renderer.py:  470: printSegment: Vital File Format
   DEBUG: 2026-03-21 16:19:19,175:      pdf_renderer.py:  470: printSegment: Introduction
   DEBUG: 2026-03-21 16:19:19,177:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,179:      pdf_renderer.py:  470: printSegment: The vital file is a file format used in vital recorder for saving vital signs and waveforms
   DEBUG: 2026-03-21 16:19:19,181:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,183:      pdf_renderer.py:  470: printSegment: It is a single gzip compressed binary file starts with (
   DEBUG: 2026-03-21 16:19:19,183:      pdf_renderer.py:  470: printSegment: 1F 8B 08 00
   DEBUG: 2026-03-21 16:19:19,185:      pdf_renderer.py:  470: printSegment: )
   DEBUG: 2026-03-21 16:19:19,186:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,186:      pdf_renderer.py:  470: printSegment: It contains a header and a body part
   DEBUG: 2026-03-21 16:19:19,188:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,188:      pdf_renderer.py:  470: printSegment: Multi-byte variables are encoded using little-endian
   DEBUG: 2026-03-21 16:19:19,188:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,188:      pdf_renderer.py:  470: printSegment: All data structures are arranged in 1-byte units.
   DEBUG: 2026-03-21 16:19:19,190:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,190:      pdf_renderer.py:  470: printSegment: Caution
   DEBUG: 2026-03-21 16:19:19,190:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-03-21 16:19:19,193:      pdf_renderer.py:  470: printSegment:  Some compilers use 4 byte alignment implicitly.
   DEBUG: 2026-03-21 16:19:19,195:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2026-03-21 16:19:19,195:      pdf_renderer.py:  470: printSegment: ^1
   DEBUG: 2026-03-21 16:19:19,195:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2026-03-21 16:19:19,195:      pdf_renderer.py:  470: printSegment: Data format
   DEBUG: 2026-03-21 16:19:19,197:      pdf_renderer.py:  470: printSegment: String data format
   DEBUG: 2026-03-21 16:19:19,197:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,197:      pdf_renderer.py:  470: printSegment: Strings are encoded in UTF8
   DEBUG: 2026-03-21 16:19:19,199:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,199:      pdf_renderer.py:  470: printSegment: It contains 4 byte length (without length itself) followed by character array of specified length
   DEBUG: 2026-03-21 16:19:19,201:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,201:      pdf_renderer.py:  470: printSegment: Caution
   DEBUG: 2026-03-21 16:19:19,203:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-03-21 16:19:19,203:      pdf_renderer.py:  470: printSegment:  It does not include the following NULL(
   DEBUG: 2026-03-21 16:19:19,203:      pdf_renderer.py:  470: printSegment: \0
   DEBUG: 2026-03-21 16:19:19,203:      pdf_renderer.py:  470: printSegment: ) character
   DEBUG: 2026-03-21 16:19:19,206:      pdf_renderer.py:  470: printSegment: Time data format
   DEBUG: 2026-03-21 16:19:19,206:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,206:      pdf_renderer.py:  470: printSegment: Times are stored in UTC
   DEBUG: 2026-03-21 16:19:19,206:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,206:      pdf_renderer.py:  470: printSegment: UTC can be converted to the local time using time zone bias (offset) in the header part.
   DEBUG: 2026-03-21 16:19:19,206:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2026-03-21 16:19:19,206:      pdf_renderer.py:  470: printSegment: ^2
   DEBUG: 2026-03-21 16:19:19,206:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2026-03-21 16:19:19,206:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,206:      pdf_renderer.py:  470: printSegment: UTC = local time + tzbias
   DEBUG: 2026-03-21 16:19:19,206:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,214:      pdf_renderer.py:  470: printSegment: All time data are represented as the number of seconds since 1970/01/01 00:00:00 UTC as a double
   DEBUG: 2026-03-21 16:19:19,214:      pdf_renderer.py:  470: printSegment: data format
   DEBUG: 2026-03-21 16:19:19,215:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,216:      pdf_renderer.py:  470: printSegment: This is compatible with Unix timestamps and convenient for addition and subtraction.
   DEBUG: 2026-03-21 16:19:19,216:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,216:      pdf_renderer.py:  470: printSegment: Changing the time to 
   DEBUG: 2026-03-21 16:19:19,218:      pdf_renderer.py:  470: printSegment: __int64
   DEBUG: 2026-03-21 16:19:19,219:      pdf_renderer.py:  470: printSegment:  makes the speed slower because it require conversion in every
   DEBUG: 2026-03-21 16:19:19,219:      pdf_renderer.py:  470: printSegment: operation.
   DEBUG: 2026-03-21 16:19:19,220:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,221:      pdf_renderer.py:  470: printSegment: The decimal point is used to indicate the precision below seconds. (for example 0.1 means 100
   DEBUG: 2026-03-21 16:19:19,221:      pdf_renderer.py:  470: printSegment: milliseconds)
   DEBUG: 2026-03-21 16:19:19,222:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,240:      pdf_renderer.py:  470: printSegment: Because the unix timestamp of year 2020 is 1,606,780,800, 31 bits are enough to express integer
   DEBUG: 2026-03-21 16:19:19,249:      pdf_renderer.py:  470: printSegment: part of it. IEEE 754 double data type has 52 bit for fraction part, so 21 digits can be used for the
   DEBUG: 2026-03-21 16:19:19,250:      pdf_renderer.py:  470: printSegment: representation of sub second time. 2^20 is about 1 million, so it has about 1 usec resolution.
   DEBUG: 2026-03-21 16:19:19,251:      pdf_renderer.py:  470: printSegment: Header
   DEBUG: 2026-03-21 16:19:19,251:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,251:      pdf_renderer.py:  470: printSegment: The total length of the header is 10 + headerlen.
   DEBUG: 2026-03-21 16:19:19,253:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,268:      pdf_renderer.py:  470: printSegment: The vital file does not include the number or length of tracks in the header, you must parse the file to
   DEBUG: 2026-03-21 16:19:19,274:      pdf_renderer.py:  470: printSegment: get the number of tracks or records. This limitation is because vital recorder can not know when
   DEBUG: 2026-03-21 16:19:19,274:      pdf_renderer.py:  470: printSegment: recording will stop and you can add tracks at any time while vital files are storing.
   DEBUG: 2026-03-21 16:19:19,274:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,279:      pdf_renderer.py:  470: printSegment: The header can be extended by increasing headerlen. Parsers should use headerlen to determine
   DEBUG: 2026-03-21 16:19:19,279:      pdf_renderer.py:  470: printSegment: which optional fields are present.
   DEBUG: 2026-03-21 16:19:19,281:      pdf_renderer.py:  470: printSegment: | Name | Type | Length | Description |
   DEBUG: 2026-03-21 16:19:19,281:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,281:      pdf_renderer.py:  470: printSegment: |------|------|--------|-------------|
   DEBUG: 2026-03-21 16:19:19,282:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,282:      pdf_renderer.py:  470: printSegment: | sign | BYTE
   DEBUG: 2026-03-21 16:19:19,283:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2026-03-21 16:19:19,283:      pdf_renderer.py:  470: printSegment: 4
   DEBUG: 2026-03-21 16:19:19,284:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2026-03-21 16:19:19,285:      pdf_renderer.py:  470: printSegment:  | 4 | 
   DEBUG: 2026-03-21 16:19:19,286:      pdf_renderer.py:  470: printSegment: "VITA"
   DEBUG: 2026-03-21 16:19:19,286:      pdf_renderer.py:  470: printSegment:  |
   DEBUG: 2026-03-21 16:19:19,286:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,286:      pdf_renderer.py:  470: printSegment: | format
   DEBUG: 2026-03-21 16:19:19,288:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,288:      pdf_renderer.py:  470: printSegment: ver |
   DEBUG: 2026-03-21 16:19:19,290:      pdf_renderer.py:  470: printSegment: DWORD | 4 | File format version, currently 3 |
   DEBUG: 2026-03-21 16:19:19,290:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,292:      pdf_renderer.py:  470: printSegment: | headerlen | WORD | 2 | header length after this, currently 27 |
   DEBUG: 2026-03-21 16:19:19,292:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,295:      pdf_renderer.py:  470: printSegment: |
   DEBUG: 2026-03-21 16:19:19,297:      pdf_renderer.py:  470: printSegment: tzbias | short | 2 | time zone bias (the difference, in minutes, between UTC time and local time) |
   DEBUG: 2026-03-21 16:19:19,297:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,298:      pdf_renderer.py:  470: printSegment: | inst
   DEBUG: 2026-03-21 16:19:19,299:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,313:      pdf_renderer.py:  470: printSegment: id | DWORD |
   DEBUG: 2026-03-21 16:19:19,323:      pdf_renderer.py:  470: printSegment: 4 | The instance ID of the program to be issued when the program starts. It is necessary to verify that the location of
   DEBUG: 2026-03-21 16:19:19,325:      pdf_renderer.py:  470: printSegment: several vital files are continuously recorded in the same vital recorder execute. If different vital files have the same
   DEBUG: 2026-03-21 16:19:19,326:      pdf_renderer.py:  470: printSegment: inst
   DEBUG: 2026-03-21 16:19:19,326:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,327:      pdf_renderer.py:  470: printSegment: id, you can use the same track id, even though there is a probability of 1/4.2 billion for collision. |
   DEBUG: 2026-03-21 16:19:19,327:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,327:      pdf_renderer.py:  470: printSegment: | prog
   DEBUG: 2026-03-21 16:19:19,329:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,330:      pdf_renderer.py:  470: printSegment: ver |
   DEBUG: 2026-03-21 16:19:19,330:      pdf_renderer.py:  470: printSegment: DWORD | 4 | vital recorder version |
   DEBUG: 2026-03-21 16:19:19,331:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,331:      pdf_renderer.py:  470: printSegment: | dtstart | double | 8 | (optional, headerlen >= 26) file start time as Unix
   DEBUG: 2026-03-21 16:19:19,332:      pdf_renderer.py:  470: printSegment: timestamp |
   DEBUG: 2026-03-21 16:19:19,332:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,333:      pdf_renderer.py:  470: printSegment: | dtend | double | 8 | (optional, headerlen >= 26) file end time as Unix timestamp |
   DEBUG: 2026-03-21 16:19:19,333:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,336:      pdf_renderer.py:  470: printSegment: | packed | BYTE | 1 |
   DEBUG: 2026-03-21 16:19:19,337:      pdf_renderer.py:  470: printSegment: (optional, headerlen >= 27) 0 = streaming format (default), 1 = packed storage format |
   DEBUG: 2026-03-21 16:19:19,337:      pdf_renderer.py:  470: printSegment: Packed mode (packed = 1)
   DEBUG: 2026-03-21 16:19:19,339:      pdf_renderer.py:  470: printSegment: When packed is set to 1, the file is in packed storage format with the following guarantees:
   DEBUG: 2026-03-21 16:19:19,340:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,340:      pdf_renderer.py:  470: printSegment: WAV tracks
   DEBUG: 2026-03-21 16:19:19,347:      pdf_renderer.py:  470: printSegment: : All waveform records for each track are merged into a single REC. Gaps between
   DEBUG: 2026-03-21 16:19:19,351:      pdf_renderer.py:  470: printSegment: consecutive records are filled with NaN samples (format-specific, see below). This allows direct
   DEBUG: 2026-03-21 16:19:19,351:      pdf_renderer.py:  470: printSegment: sample access by index: 
   DEBUG: 2026-03-21 16:19:19,352:      pdf_renderer.py:  470: printSegment: sample_time = trk_dtstart + sample_index / srate
   DEBUG: 2026-03-21 16:19:19,352:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-03-21 16:19:19,353:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,354:      pdf_renderer.py:  470: printSegment: NUM/STR tracks
   DEBUG: 2026-03-21 16:19:19,355:      pdf_renderer.py:  470: printSegment: : Records for each track appear consecutively and are sorted by time.
   DEBUG: 2026-03-21 16:19:19,355:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,356:      pdf_renderer.py:  470: printSegment: Track grouping
   DEBUG: 2026-03-21 16:19:19,357:      pdf_renderer.py:  470: printSegment: : All RECs belonging to the same track are stored consecutively in the file (track by
   DEBUG: 2026-03-21 16:19:19,357:      pdf_renderer.py:  470: printSegment: track).
   DEBUG: 2026-03-21 16:19:19,358:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-21 16:19:19,359:      pdf_renderer.py:  470: printSegment: TRKINFO fields
   DEBUG: 2026-03-21 16:19:19,359:      pdf_renderer.py:  470: printSegment: : Each TRKINFO includes 
   DEBUG: 2026-03-21 16:19:19,360:      pdf_renderer.py:  470: printSegment: reclen
   DEBUG: 2026-03-21 16:19:19,360:      pdf_renderer.py:  470: printSegment: , 
   DEBUG: 2026-03-21 16:19:19,361:      pdf_renderer.py:  470: printSegment: dtstart
   DEBUG: 2026-03-21 16:19:19,361:      pdf_renderer.py:  470: printSegment: , and 
   DEBUG: 2026-03-21 16:19:19,362:      pdf_renderer.py:  470: printSegment: dtend
   DEBUG: 2026-03-21 16:19:19,362:      pdf_renderer.py:  470: printSegment:  for the track.
   DEBUG: 2026-03-21 16:19:19,363:      pdf_renderer.py:  470: printSegment: NaN values by format type
   DEBUG: 2026-03-21 16:19:19,363:      pdf_renderer.py:  470: printSegment: | Format | NaN value | Description |
   DEBUG: 2026-03-21 16:19:19,364:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,364:      pdf_renderer.py:  470: printSegment: |--------|-----------|-------------|
   DEBUG: 2026-03-21 16:19:19,365:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,365:      pdf_renderer.py:  470: printSegment: | FMT
   DEBUG: 2026-03-21 16:19:19,365:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,365:      pdf_renderer.py:  470: printSegment: FLOAT (1) | NaN | IEEE 754 NaN |
   DEBUG: 2026-03-21 16:19:19,368:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,368:      pdf_renderer.py:  470: printSegment: | FMT
   DEBUG: 2026-03-21 16:19:19,369:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,369:      pdf_renderer.py:  470: printSegment: DOUBLE (2) | NaN | IEEE 754 NaN |
   DEBUG: 2026-03-21 16:19:19,370:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,370:      pdf_renderer.py:  470: printSegment: | FMT
   DEBUG: 2026-03-21 16:19:19,371:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2026-03-21 16:19:19,371:      pdf_renderer.py:  470: printSegment: CHAR (3) | -128 | signed byte min |
   DEBUG: 2026-03-21 16:19:19,373:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-21 16:19:19,373:      pdf_renderer.py:  470: printSegment: | FMT
   DEBUG: 2026-03-21 16:19:19,373:      pdf_renderer.py:  470: printSegment: _
